Protein.ID,Gene.name,LFQ.Control_04dpi_1,LFQ.Control_04dpi_2,LFQ.Control_04dpi_3,LFQ.Control_04dpi_4,LFQ.Control_04dpi_5,LFQ.Control_07dpi_1,LFQ.Control_07dpi_2,LFQ.Control_07dpi_3,LFQ.Control_07dpi_4,LFQ.Control_07dpi_5,LFQ.Control_12dpi_1,LFQ.Control_12dpi_2,LFQ.Control_12dpi_3,LFQ.Control_12dpi_4,LFQ.Control_12dpi_5,LFQ.F13_Mut_04dpi_1,LFQ.F13_Mut_04dpi_2,LFQ.F13_Mut_04dpi_3,LFQ.F13_Mut_04dpi_4,LFQ.F13_Mut_04dpi_5,LFQ.F13_Mut_07dpi_2,LFQ.F13_Mut_07dpi_3,LFQ.F13_Mut_07dpi_4,LFQ.F13_Mut_07dpi_5,LFQ.F13_Mut_12dpi_1,LFQ.F13_Mut_12dpi_2,LFQ.F13_Mut_12dpi_3,LFQ.F13_Mut_12dpi_4,LFQ.F13_Mut_12dpi_5,LFQ.F13_WT_04dpi_1,LFQ.F13_WT_04dpi_2,LFQ.F13_WT_04dpi_3,LFQ.F13_WT_04dpi_4,LFQ.F13_WT_07dpi_1,LFQ.F13_WT_07dpi_2,LFQ.F13_WT_07dpi_3,LFQ.F13_WT_07dpi_4,LFQ.F13_WT_07dpi_5,LFQ.F13_WT_12dpi_1,LFQ.F13_WT_12dpi_2,LFQ.F13_WT_12dpi_3,LFQ.F13_WT_12dpi_4,LFQ.F13_WT_12dpi_5,LFQ.GHu_Mut_04dpi_1,LFQ.GHu_Mut_04dpi_2,LFQ.GHu_Mut_04dpi_3,LFQ.GHu_Mut_04dpi_4,LFQ.GHu_Mut_04dpi_5,LFQ.GHu_Mut_07dpi_1,LFQ.GHu_Mut_07dpi_2,LFQ.GHu_Mut_07dpi_3,LFQ.GHu_Mut_07dpi_4,LFQ.GHu_Mut_07dpi_5,LFQ.GHu_Mut_12dpi_1,LFQ.GHu_Mut_12dpi_2,LFQ.GHu_Mut_12dpi_3,LFQ.GHu_Mut_12dpi_4,LFQ.GHu_Mut_12dpi_5,LFQ.GHu_WT_04dpi_1,LFQ.GHu_WT_04dpi_2,LFQ.GHu_WT_04dpi_3,LFQ.GHu_WT_04dpi_4,LFQ.GHu_WT_04dpi_5,LFQ.GHu_WT_07dpi_1,LFQ.GHu_WT_07dpi_2,LFQ.GHu_WT_07dpi_3,LFQ.GHu_WT_07dpi_4,LFQ.GHu_WT_07dpi_5,LFQ.GHu_WT_12dpi_1,LFQ.GHu_WT_12dpi_2,LFQ.GHu_WT_12dpi_3,LFQ.GHu_WT_12dpi_4,LFQ.GHu_WT_12dpi_5
"    sp|Q96299|14339_ARATH ***- 14-3-3-like protein GF14 mu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf00477g00017.1,,,,,,,6,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,4
"    sp|Q96299|14339_ARATH ***- 14-3-3-like protein GF14 mu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf02537g14001.1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"    sp|Q96299|14339_ARATH ***- 14-3-3-like protein GF14 mu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf03027g02009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q06967|14336_ORYSJ ***- 14-3-3-like protein GF14-F IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf00189g00004.1,18,16,24,14,20,19,23,10,11,25,18,22,19,19,18,15,21,12,15,13,12,23,22,16,16,25,25,20,16,17,18,15,16,16,22,20,17,17,17,14,14,19,19,18,17,17,24,20,11,16,17,12,23,14,16,23,15,14,20,23,18,19,18,19,17,12,15,20,14,14,14,11,17
"    sp|Q06967|14336_ORYSJ ***- 14-3-3-like protein GF14-F IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf07381g02007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q06967|14336_ORYSJ ***- 14-3-3-like protein GF14-F IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf04570g06004.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q06967|14336_ORYSJ ***- 14-3-3-like protein GF14-F IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf01397g00020.1,,,,,,,,,,,,,,10,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,,,,,,,,,,,,,,,,
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf02367g04001.1 (+1),21,14,23,14,22,17,21,12,8,24,17,27,17,20,21,15,21,12,14,11,12,23,21,16,17,22,22,20,19,15,20,16,15,18,21,17,20,15,17,16,13,18,20,18,17,14,21,16,13,19,19,13,26,12,11,23,17,18,24,22,18,17,14,21,18,15,18,18,15,14,15,11,19
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf10278g01002.1,17,13,20,14,21,19,19,7,6,17,15,16,14,14,14,15,16,9,12,12,11,22,15,11,14,21,21,15,13,13,17,11,8,12,16,16,14,12,13,10,12,14,14,15,16,17,19,15,9,16,17,12,20,9,12,18,11,12,16,18,16,15,14,20,15,12,13,13,11,13,10,8,14
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf06516g04018.1,,,4,3,5,7,13,1,1,7,3,8,5,12,13,3,4,3,1,5,,,6,3,6,9,9,5,6,3,5,4,6,4,5,,6,6,6,5,3,4,7,6,8,2,6,2,4,9,5,5,9,4,1,5,4,6,2,4,2,8,4,5,,,5,8,6,5,6,1,7
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf03015g03010.1,3,4,6,4,3,2,8,0,0,6,1,8,2,6,8,3,4,0,1,3,,6,4,1,3,10,10,4,3,3,6,1,,3,4,7,,3,6,4,2,2,7,5,3,2,5,1,3,8,4,3,7,0,1,6,1,1,3,4,4,5,6,4,3,2,5,7,2,2,3,1,4
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf08527g01006.1,,,3,,,6,11,,1,5,1,,5,10,11,,,,,4,,,5,3,5,,,5,4,,,3,5,4,,,5,6,,5,,,,,7,2,5,,,8,4,5,8,3,,4,3,4,,3,,7,3,3,,,5,6,5,4,5,1,5
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf04475g00005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf10757g00001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q6ZKC0|14333_ORYSJ ***- 14-3-3-like protein GF14-C IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf01980g12010.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q6EUP4|14335_ORYSJ *-*- 14-3-3-like protein GF14-E IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf01521g05005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    gi|1051270|gb|AAA80544.1| 14-3-3 zeta isoform [Rattus norvegicus],gi|1051270|gb|AAA80544.1|,,,,,,,,,,,,,,,,,,0,,,,,,,,6,6,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    AT2G42590.3 ***- general regulatory factor 9 LENGTH=276 IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf01710g01013.1,8,4,6,7,8,6,10,2,1,2,4,11,6,7,11,5,7,4,5,3,2,7,6,1,7,13,13,8,5,4,10,5,3,5,6,7,5,5,9,3,3,4,6,6,8,7,6,5,4,7,5,7,10,1,2,6,2,3,6,11,6,8,8,8,8,4,7,4,3,4,4,2,6
"    AT2G42590.3 ***- general regulatory factor 9 LENGTH=276 IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf06183g03009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    AT1G34760.1 ***- general regulatory factor 11 LENGTH=255 IPR000308 (14-3-3 protein), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf02847g00002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    AT1G34760.1 ***- general regulatory factor 11 LENGTH=255 IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf13150g04023.1,8,,6,7,7,5,,,,,4,10,6,7,11,,7,4,5,,,,,,7,11,11,7,4,,10,5,,,6,,5,,9,,,,,6,8,,,5,4,7,5,7,10,,,5,,2,6,10,6,8,7,8,8,4,,4,,,,,
"    AT1G26480.1 ***- general regulatory factor 12 LENGTH=268 IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf03628g14020.1,8,4,6,7,7,6,10,2,1,2,4,11,6,7,11,5,7,4,5,3,2,7,6,1,7,11,11,8,5,4,10,6,3,5,6,7,5,5,9,3,3,4,6,6,8,6,6,5,4,7,5,7,10,1,2,6,2,3,6,10,6,8,8,8,8,4,7,4,3,4,4,2,6
"    AT1G26480.1 ***- general regulatory factor 12 LENGTH=268 IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf09559g02008.1,4,4,4,3,4,3,7,1,,4,0,7,2,6,7,,4,0,1,2,2,5,6,1,3,8,8,3,3,,6,3,,4,4,,3,3,4,,3,3,5,7,3,2,4,2,2,7,4,2,6,0,2,4,1,1,3,4,5,6,4,3,3,2,6,4,3,2,4,0,4
"    AT1G26480.1 ***- general regulatory factor 12 LENGTH=268 IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf07398g02004.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    AT1G26480.1 ***- general regulatory factor 12 LENGTH=268 IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf01521g05004.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|Q96262|PCAP1_ARATH *-** Plasma membrane-associated cation-binding protein 1 IPR008469 (DREPP family) GO:0046658 (anchored component of plasma membrane), GO:0051716 (cellular response to stimulus) (Niben101Scf00700g05004.1)",Niben101Scf00700g05004.1 [2],12,13,6,11,15,2,6,3,2,12,11,12,5,4,14,14,13,3,11,5,9,16,8,10,2,10,10,9,6,10,11,5,4,12,10,10,7,7,5,10,12,11,14,4,1,6,11,5,5,9,11,6,10,4,10,9,10,11,14,8,10,11,9,11,16,13,12,12,6,4,6,3,7
"    sp|Q96262|PCAP1_ARATH *-** Plasma membrane-associated cation-binding protein 1 IPR008469 (DREPP family) GO:0046658 (anchored component of plasma membrane), GO:0051716 (cellular response to stimulus)",Niben101Scf00700g05004.1,8,8,6,8,10,2,5,2,2,10,9,7,5,3,10,8,10,3,9,4,7,11,8,7,2,8,8,9,6,7,7,5,4,10,7,7,7,7,4,8,8,8,9,3,1,3,8,3,4,6,9,5,8,3,8,8,8,8,11,6,9,10,9,8,10,7,7,10,6,4,5,3,5
"    sp|Q96262|PCAP1_ARATH **** Plasma membrane-associated cation-binding protein 1 IPR008469 (DREPP family) GO:0046658 (anchored component of plasma membrane), GO:0051716 (cellular response to stimulus)",Niben101Scf11886g02001.1,8,9,2,6,9,2,4,1,,6,6,9,1,2,8,9,6,0,6,2,4,9,4,5,1,4,4,5,2,7,6,1,1,6,7,7,3,4,3,4,7,7,9,2,0,4,6,3,2,6,7,4,6,3,4,5,6,7,7,5,5,5,4,7,10,10,7,6,4,2,4,2,5
"Cluster of sp|Q92616|GCN1L_HUMAN ***- Translational activator GCN1 IPR016024 (Armadillo-type fold), IPR024395 (CLASP N-terminal domain), IPR026827 (Proteasome component ECM29/Translational activator GCN1) GO:0005488 (binding), GO:0005515 (protein binding) (Niben101Scf04707g00001.1)",Niben101Scf04707g00001.1 [3],,,,,,,,,0,,0,,,,,,,1,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,,0,,0,,,,0,1,,2,,,,,,,,,,
"    sp|Q92616|GCN1L_HUMAN *-*- Translational activator GCN1 IPR016024 (Armadillo-type fold), IPR026827 (Proteasome component ECM29/Translational activator GCN1) GO:0005488 (binding)",Niben101Scf00420g01017.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q92616|GCN1L_HUMAN ***- Translational activator GCN1 IPR016024 (Armadillo-type fold), IPR026827 (Proteasome component ECM29/Translational activator GCN1) GO:0005488 (binding), GO:0005515 (protein binding)",Niben101Scf00420g01013.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q92616|GCN1L_HUMAN ***- Translational activator GCN1 IPR016024 (Armadillo-type fold), IPR024395 (CLASP N-terminal domain), IPR026827 (Proteasome component ECM29/Translational activator GCN1) GO:0005488 (binding), GO:0005515 (protein binding)",Niben101Scf04707g00001.1,,,,,,,,,,,0,,,,,,,1,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,,0,,0,,,,0,1,,2,,,,,,,,,,
"Cluster of sp|Q63347|PRS7_RAT ***- 26S protease regulatory subunit 7 IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process) (Niben101Scf11253g00004.1)",Niben101Scf11253g00004.1 [20],10,11,16,12,3,10,16,10,15,9,11,13,28,18,9,6,6,21,7,17,6,9,11,3,22,15,15,4,11,6,10,13,13,7,11,8,10,10,9,4,3,5,3,7,20,13,12,8,11,7,9,9,13,16,8,13,1,6,4,15,5,9,17,7,10,10,8,8,6,5,9,10,8
"    sp|Q63347|PRS7_RAT ***- 26S protease regulatory subunit 7 IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf11253g00004.1,4,3,5,2,1,5,6,4,6,3,4,6,6,5,3,2,2,6,2,5,4,4,3,2,7,5,5,2,3,3,3,4,3,3,7,3,3,3,4,1,2,3,1,3,4,3,4,3,5,2,3,3,7,6,4,5,1,1,2,4,2,5,3,3,3,4,1,3,3,2,3,4,2
"    sp|Q41365|PRS7_SPIOL ***- 26S protease regulatory subunit 7 IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf03894g00003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9SSB5|PRS7A_ARATH *-*- 26S protease regulatory subunit 7 homolog A IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf01550g01001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9FXT9|PRS7_ORYSJ *-*- 26S protease regulatory subunit 7 IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf01194g00009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9C5U3|PRS8A_ARATH ***- 26S protease regulatory subunit 8 homolog A IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf20652g00020.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q8SQK0|PRS8_ENCCU ***- 26S protease regulatory subunit 8 homolog IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf04436g07001.1,,,,,,,,,4,,,,,6,,,,,,,,,,,6,,,,,,,4,,,,3,,3,3,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,3,,,,
